epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1805,2.45845,10.8622,0.01105,0.26362,0.02218,0.03822,0.01593,1.69699,6.05729,0.00763,0.00018887,0.00018887,0.00018887
2,22.0642,1.83786,4.80387,0.00699,0.30886,0.41325,0.35513,0.15898,1.81619,3.54512,0.00779,0.000385,0.000385,0.000385
3,26.071,1.95884,2.62636,0.00733,0.44097,0.45026,0.41021,0.1884,2.02639,2.14365,0.00975,0.000577171,0.000577171,0.000577171
4,29.9105,2.02337,1.92116,0.00781,0.56777,0.2959,0.35662,0.14641,2.04525,2.34239,0.00911,0.000765382,0.000765382,0.000765382
5,33.6105,2.02809,1.81838,0.00785,0.3964,0.53943,0.33804,0.12736,2.19814,4.17069,0.01071,0.000949634,0.000949634,0.000949634
6,37.291,2.04523,1.67394,0.00786,0.44557,0.5878,0.49355,0.20358,2.14037,1.87595,0.0095,0.00105601,0.00105601,0.00105601
7,41.1187,2.00796,1.69118,0.00779,0.56298,0.46917,0.48751,0.24727,2.01008,2.03716,0.0088,0.00104501,0.00104501,0.00104501
8,44.9023,2.06365,1.55971,0.00843,0.55353,0.57345,0.56327,0.29437,2.09168,1.69401,0.00997,0.00103401,0.00103401,0.00103401
9,48.6631,2.01975,1.4538,0.00795,0.67172,0.42193,0.48038,0.21009,2.21625,1.78187,0.01057,0.00102301,0.00102301,0.00102301
10,52.339,2.031,1.47694,0.00777,0.63443,0.48836,0.55668,0.25462,2.15134,1.67453,0.00987,0.00101201,0.00101201,0.00101201
11,56.0497,2.02435,1.45223,0.0075,0.71111,0.4332,0.5601,0.27463,2.04675,1.90682,0.00991,0.00100101,0.00100101,0.00100101
12,59.944,1.99766,1.35986,0.00743,0.64137,0.6359,0.61647,0.3005,2.04234,1.32571,0.00931,0.000990012,0.000990012,0.000990012
13,63.7162,1.96425,1.26772,0.00735,0.62737,0.62045,0.66516,0.30108,2.10615,1.4361,0.01,0.000979013,0.000979013,0.000979013
14,67.5244,1.99446,1.31531,0.0078,0.49879,0.64599,0.6136,0.28286,2.14099,1.46413,0.00948,0.000968014,0.000968014,0.000968014
15,71.1809,1.9398,1.25099,0.00755,0.61553,0.53553,0.63338,0.3424,1.88076,1.49516,0.00864,0.000957015,0.000957015,0.000957015
16,74.9621,1.98368,1.21942,0.00733,0.62591,0.66108,0.64697,0.31972,2.05196,1.37897,0.0092,0.000946016,0.000946016,0.000946016
17,78.6378,1.89271,1.1969,0.00725,0.67917,0.62576,0.64665,0.32534,2.06667,1.33878,0.00912,0.000935018,0.000935018,0.000935018
18,82.2835,1.86707,1.17097,0.00705,0.75987,0.57251,0.66129,0.32799,2.0346,1.34269,0.00919,0.000924019,0.000924019,0.000924019
19,85.9546,1.94396,1.16462,0.00726,0.71299,0.63001,0.64921,0.31732,2.06752,1.23709,0.00967,0.00091302,0.00091302,0.00091302
