epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7697,2.78665,20.2935,0.01344,0.20155,0.00164,4e-05,2e-05,2.74328,20.0349,0.01579,9.999e-05,9.999e-05,9.999e-05
2,36.0944,2.26013,14.3149,0.00951,0.24374,0.04088,0.03076,0.01671,1.84974,7.87179,0.00782,0.000209,0.000209,0.000209
3,40.7944,1.84613,8.13265,0.00675,0.48505,0.24126,0.21623,0.10076,1.75252,5.122,0.00741,0.000315811,0.000315811,0.000315811
4,45.3925,1.85466,4.62757,0.0066,0.50274,0.30437,0.26878,0.12805,1.74712,3.0465,0.00741,0.000420421,0.000420421,0.000420421
5,49.9828,1.87959,3.18512,0.00673,0.50828,0.45721,0.42148,0.21761,1.69693,2.2642,0.00752,0.000522832,0.000522832,0.000522832
6,54.5881,1.87881,2.39975,0.00663,0.54252,0.47525,0.47604,0.21166,1.8802,2.09667,0.00825,0.000623043,0.000623043,0.000623043
7,59.3261,1.88646,2.06776,0.00708,0.55057,0.43478,0.44389,0.18948,1.84158,1.92414,0.00804,0.000721055,0.000721055,0.000721055
8,63.8658,1.94227,1.8797,0.00699,0.55339,0.43394,0.47795,0.22823,1.82354,1.66871,0.00803,0.000816866,0.000816866,0.000816866
9,68.4774,1.85576,1.74029,0.00695,0.50632,0.44929,0.44842,0.20993,1.89243,1.82713,0.00761,0.000910478,0.000910478,0.000910478
10,73.0039,1.89388,1.58007,0.00695,0.52401,0.48776,0.46693,0.22989,1.86792,2.04642,0.00852,0.00100189,0.00100189,0.00100189
11,77.5787,1.92997,1.6175,0.00711,0.56923,0.53054,0.56359,0.28568,1.82295,1.59611,0.00884,0.00100101,0.00100101,0.00100101
12,82.1802,1.91277,1.47418,0.00692,0.7148,0.39519,0.45847,0.20533,1.8166,1.81925,0.00819,0.000990012,0.000990012,0.000990012
13,86.9229,1.86244,1.40418,0.0067,0.64351,0.4385,0.49017,0.23963,1.82969,1.85107,0.00812,0.000979013,0.000979013,0.000979013
14,91.4178,1.91763,1.41451,0.00687,0.56593,0.65556,0.6277,0.29581,1.81725,1.44842,0.0082,0.000968014,0.000968014,0.000968014
15,95.9682,1.87334,1.39052,0.00721,0.56055,0.61544,0.59437,0.29658,1.82351,1.47618,0.00841,0.000957015,0.000957015,0.000957015
