epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,82.9703,1.62708,9.61548,1.55151,0.00044,0.13333,0.00034,0.00015,1.70721,11.6856,1.87518,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014,0.00042,0.00014
2,90.2785,1.58918,7.64822,1.56162,0.29835,0.2,0.08861,0.03071,1.67748,5.91264,1.66457,0.00088515,0.00029505,0.00088515,0.00029505,0.00088515,0.00029505,0.00088515,0.00029505
3,97.5553,1.49505,3.65198,1.40246,0.8055,0.82932,0.83418,0.42337,1.61497,2.65887,1.54637,0.00133446,0.00044482,0.00133446,0.00044482,0.00133446,0.00044482,0.00133446,0.00044482
4,110.788,1.37112,1.85029,1.2228,0.93643,0.98296,0.98688,0.61291,1.4041,1.07176,1.22548,0.00176793,0.00058931,0.00176793,0.00058931,0.00176793,0.00058931,0.00176793,0.00058931
5,118.122,1.31782,1.08437,1.17902,0.93701,0.99219,0.99125,0.63071,1.33024,0.87757,1.12829,0.00218556,0.00072852,0.00218556,0.00072852,0.00218556,0.00072852,0.00218556,0.00072852
6,126.332,1.27481,0.82319,1.131,0.98888,1,0.995,0.68032,1.30845,0.6004,1.14359,0.00258735,0.00086245,0.00258735,0.00086245,0.00258735,0.00086245,0.00258735,0.00086245
7,132.573,1.16672,0.72281,1.06044,0.99447,1,0.995,0.62863,1.30853,0.66469,1.14689,0.0029733,0.0009911,0.0029733,0.0009911,0.0029733,0.0009911,0.0029733,0.0009911
8,139.204,1.16788,0.7452,1.06611,0.9926,1,0.995,0.66563,1.23038,0.63566,1.05644,0.00334341,0.00111447,0.00334341,0.00111447,0.00334341,0.00111447,0.00334341,0.00111447
9,145.458,1.20387,0.70078,1.05403,0.99652,1,0.995,0.68284,1.19738,0.60955,1.03879,0.00369768,0.00123256,0.00369768,0.00123256,0.00369768,0.00123256,0.00369768,0.00123256
10,151.615,1.13739,0.67656,1.01688,0.99648,1,0.995,0.70504,1.17095,0.60685,1.02959,0.00403611,0.00134537,0.00403611,0.00134537,0.00403611,0.00134537,0.00403611,0.00134537
